"","geo_id","mean.lon","mean.lat","mean.lon2.5","mean.lat2.5","mean.lon97.5","mean.lat97.5"
"1","3254_001",-57.2446665038422,5.8156595663044,-57.8700526544625,4.96156620245672,-56.4197515176272,6.4251740587843
"2","3254_008",-58.2953088859343,1.24187771826638,-58.3881090629413,0.777484328806457,-58.1888564490777,1.70071947458949
"3","3254_057",-63.3741121313668,2.56855419526108,-63.4455316040345,2.17327233139867,-63.334754944971,2.74348051203202
"4","4068_014",-62.8522607552897,3.48527536510173,-63.091121513093,2.0809831040349,-62.6425992808387,4.81111077973115
"5","4105_008",-69.2551340131297,0.608838019990415,-69.4913968634287,-0.311634617355495,-68.9976359456035,1.38645422638915
"6","4105_009",-67.0192329471321,3.61531308946411,-67.0787429465488,3.37447664788752,-66.939002725294,3.82620155073408
"7","4105_017",-64.7341580630623,0.889333014767012,-64.992755008935,-0.0906176392352274,-64.4601293389436,1.7624110957978
"8","4210_002",-63.8720372107536,-1.50518027591197,-64.0206705548745,-2.24352608519277,-63.723564193326,-0.789837965982636
"9","4210_004",-72.0845865179116,0.67226667818959,-72.3915021226293,-0.691111918038374,-71.7716863252843,1.79059132312159
"10","B",-71.4820676696267,7.12985253822285,-71.6462290720232,6.37593178457263,-71.3175852953029,7.81430511973526
"11","E",-72.6815382881502,10.5455959767038,-73.0397819419054,8.27404188026667,-72.3347189733511,11.585853392538
"12","V7638_001",-62.3909123484104,3.40912474599288,-62.3960106031706,3.38110687047818,-62.3844739297177,3.43452448856477
"13","V7638_009",-66.6418605938876,5.57913708637616,-66.9107958582454,4.59769760442406,-66.4261957739213,6.36830610875005
"14","V8296_008",-72.2116026052029,3.31890165895514,-72.5439076242676,1.44760398578581,-71.868200850525,5.37642850097844
"15","V8296_017",-71.0790135528759,6.898981160433,-71.3080897509623,5.84619198776181,-70.8660660522173,7.95503896895499
"16","V8757_018",-70.3128946848916,11.1582205600169,-70.5516218055013,10.7597487850208,-70.099079027177,11.3288206704213
"17","V8757_019",-64.1179443859546,3.17565937174112,-64.1400059586621,3.09396663936668,-64.0898564027024,3.29424866127877
"18","blpw09",-61.9981839554292,2.84827761527916,-62.2268298765373,1.96801297615483,-61.7741731815596,3.72365255758857
"19","blpw12",-64.2377731324065,4.89538254060636,-64.3749724286166,4.12118183226126,-64.0939958176472,5.5864467391175
"20","blpw25",-64.7376239643348,1.09011112125847,-65.1072909119462,-0.33109823728822,-64.4098005240309,2.32588508510779
