"","geo_id","study.site","cluster","next.cluster","StartTime","Lon.50.","Lon.2.5.","Lon.97.5.","Lat.50.","Lat.2.5.","Lat.97.5.","EndTime","sitenum","duration","period","Range_region","NB_count","site_type","ab.unit","br.region.prop.total.population","br.polygon"
"18","3254_008","Nome, Alaska",23,19,2016-10-11 22:37:44,-70.8193719020631,-71.5192240193164,-70.1514845664388,-3.03261267091495,-6.45410538026225,0.376463620363628,2016-10-18 10:13:01,6,6.48283564814815,"Post-breeding migration","West",NA,"Stopover",0.0192015716993869,0.0960078584969346,"AlaskaWest"
"19","3254_011","Nome, Alaska",32,2,2016-07-10 09:52:34,-163.71321,-163.69373,-163.69373,64.82774,64.86398,64.86398,2016-07-11 08:56:00,1,0.960717592592593,"Post-breeding migration","West",NA,"Breeding",0.0192015716993869,0.0960078584969346,"AlaskaWest"
"20","3254_011","Nome, Alaska",2,9,2016-07-27 08:08:00,-161.587329882435,-161.966900452745,-160.060693895552,63.6596703187035,63.3879998316387,64.2198834770797,2016-08-04 08:18:00,2,8.00694444444444,"Post-breeding migration","West",NA,"Stopover",0.0192015716993869,0.0960078584969346,"AlaskaWest"
"21","3254_011","Nome, Alaska",9,24,2016-08-31 11:02:30,-88.1502912135177,-91.9023925355067,-84.3024833729927,53.8153321168535,49.4856492657514,56.6831993163139,2016-09-04 00:30:30,3,3.56111111111111,"Post-breeding migration","West",NA,"Stopover",0.0192015716993869,0.0960078584969346,"AlaskaWest"
"22","3254_011","Nome, Alaska",24,16,2016-09-25 10:37:02,-74.8522927961538,-75.3522412981255,-74.5376232745665,40.0344100005541,38.0955102457432,43.6417868909695,2016-10-09 22:34:40,6,14.4983564814815,"Post-breeding migration","West",NA,"Stopover",0.0192015716993869,0.0960078584969346,"AlaskaWest"
"23","3254_011","Nome, Alaska",16,3,2016-10-11 10:14:30,-69.1865217970442,-70.083927648605,-68.1114568680161,4.40675289117095,-2.83825666875308,9.4997103107651,2016-10-16 10:16:30,7,5.00138888888889,"Post-breeding migration","West",NA,"Stopover",0.0192015716993869,0.0960078584969346,"AlaskaWest"
"24","3254_057","Nome, Alaska",32,2,2016-07-12 10:37:12,-163.71321,-165.28943,-165.28943,64.82774,64.6375,64.6375,2016-07-13 10:11:12,1,0.981944444444444,"Post-breeding migration","West",NA,"Breeding",0.0192015716993869,0.0960078584969346,"AlaskaWest"
"25","3254_057","Nome, Alaska",2,5,2016-07-17 13:05:13,-164.797478078199,-164.943633469324,-164.550648177953,64.5688080855674,64.5134989427694,64.6620696458166,2016-08-22 14:43:22,2,36.0681597222222,"Post-breeding migration","West",NA,"Stopover",0.0192015716993869,0.0960078584969346,"AlaskaWest"
"26","3254_057","Nome, Alaska",5,9,2016-09-09 11:49:57,-98.2855208994991,-99.4647962378582,-97.4465727278627,62.7639098411016,61.7649784546155,63.66944773948,2016-09-12 00:52:57,3,2.54375,"Post-breeding migration","West",NA,"Stopover",0.0192015716993869,0.0960078584969346,"AlaskaWest"
"27","3254_057","Nome, Alaska",9,4,2016-09-14 00:28:58,-83.9858206437588,-83.9911257949577,-83.9697761044729,45.4428299948154,45.4284593221891,45.446548139278,2016-09-16 10:59:58,4,2.43819444444444,"Post-breeding migration","West",NA,"Stopover",0.0192015716993869,0.0960078584969346,"AlaskaWest"
"28","3254_057","Nome, Alaska",4,23,2016-09-17 23:58:09,-76.898862767594,-76.9006877653299,-76.8953792331483,26.5723263531621,26.5392636765259,26.6117096826682,2016-10-08 11:09:34,5,20.4662615740741,"Post-breeding migration","West",NA,"Stopover",0.0192015716993869,0.0960078584969346,"AlaskaWest"
"29","3254_057","Nome, Alaska",23,21,2016-10-09 22:54:23,-70.3878149802125,-70.3909854853937,-70.3792175172329,-1.27277262194149,-1.27863346128514,-1.24982970182728,2016-10-16 10:13:01,6,6.47127314814815,"Post-breeding migration","West",NA,"Stopover",0.0192015716993869,0.0960078584969346,"AlaskaWest"
"30","4068_014","Denali, Alaska",29,1,2016-07-05 03:50:30,-149.41287,-149.42917,-149.42917,63.72073,63.72073,63.72073,2016-07-06 08:37:00,1,1.19895833333333,"Post-breeding migration","West",NA,"Breeding",0.0365210119957924,0.0365210119957924,"AlaskaEast"
"31","4068_014","Denali, Alaska",1,14,2016-08-19 14:26:11,-141.881729276057,-144.722993740138,-139.189816127712,63.7095073662532,62.5576159612813,65.3089782655479,2016-08-23 13:56:53,3,3.97965277777778,"Post-breeding migration","West",NA,"Stopover",0.0365210119957924,0.0365210119957924,"AlaskaEast"
