"","vertex","Lon.50.","Lat.50.","ab.weight","n.weight","prop.ab.central","prop.ab.eastern","prop.ab.northwestern","prop.ab.western","n.central","n.eastern","n.northwestern","n.western"
"1",8,-70.4814447228693,8.97652211197308,0.456782480255426,23,0.0834294601676634,0.287505563518065,0.069513805664365,0.0163336509053333,2,10,8,3
"2",9,-62.8522607552897,3.48527536510173,0.30867968476572,20,0.166858920335327,0.0287505563518065,0.069513805664365,0.0435564024142222,4,1,8,7
"3",10,-67.0192329471321,3.61531308946411,0.313036145181607,15,0.125144190251495,0.143752781759032,0.027805522265746,0.0163336509053333,3,5,4,3
"4",11,-71.3657761063611,2.53132030748795,0.238071342530251,9,0.0834294601676634,0.143752781759032,0,0.0108891006035555,2,5,0,2
