"","geo_id","cluster","next.cluster","StartTime","Lon.50.","Lon.2.5.","Lon.97.5.","Lat.50.","Lat.2.5.","Lat.97.5.","EndTime","sitenum","duration","period","study.site","Range_region","NB_count","site_type","ab.unit","br.region.prop.total.population","br.polygon"
"20","E",9,21,"2013-12-19 10:42:05",-70.9640569441699,-71.3820454467478,-70.5876755943959,9.89323178800164,8.61570735965251,10.7750395828872,"2014-01-18 22:43:42",9,30.5011226851852,"Non-breeding period","Mount Mansfield, Vermont, USA","Eastern",1,"Nonbreeding",0.0303478094824624,0.546260570684323,"Eastern Region"
"21","V8296_004",26,5,"2019-07-11 00:54:46",-71.08742,-71.08315,-71.08315,47.38323,47.38248,47.38248,"2019-08-16 09:26:46",1,36.3555555555556,"Post-breeding migration","Quebec","Eastern",NA,"Breeding",0.0303478094824624,0.546260570684323,"Eastern Region"
"22","V8296_004",5,7,"2019-09-06 09:53:16",-69.2938083567986,-69.7735584498675,-68.7748924257008,49.5677545801297,48.4555262287463,50.9974690514974,"2019-09-19 22:54:16",5,13.5423611111111,"Post-breeding migration","Quebec","Eastern",NA,"Stopover",0.0303478094824624,0.546260570684323,"Eastern Region"
"23","V8296_004",7,14,"2019-09-21 09:56:01",-67.4862727392398,-68.0355335998922,-66.9067878568555,51.1584838062438,47.8430686171562,54.4713893927136,"2019-09-28 22:27:26",6,7.52181712962963,"Post-breeding migration","Quebec","Eastern",NA,"Stopover",0.0303478094824624,0.546260570684323,"Eastern Region"
"24","V8296_004",14,13,"2019-09-30 10:08:31",-71.5593069812728,-71.7524100392276,-71.4702276370702,17.8331963460271,17.7115100486548,18.1008010085106,"2019-10-02 22:48:46",7,2.52795138888889,"Post-breeding migration","Quebec","Eastern",NA,"Stopover",0.0303478094824624,0.546260570684323,"Eastern Region"
"25","V8296_004",13,26,"2019-10-04 10:16:46",-67.9109740155303,-68.0819882875701,-67.7311927935528,5.16639120167079,4.59410466616031,5.70179745070309,"2020-02-15 22:58:16",8,134.528819444444,"Non-breeding period","Quebec","Eastern",1,"Nonbreeding",0.0303478094824624,0.546260570684323,"Eastern Region"
"26","V8296_005",26,5,"2019-06-19 01:18:52",-71.08742,-71.09479,-71.09479,47.38323,47.38323,47.38323,"2019-08-24 09:41:28",1,66.3490277777778,"Post-breeding migration","Quebec","Eastern",NA,"Breeding",0.0303478094824624,0.546260570684323,"Eastern Region"
"27","V8296_005",5,7,"2019-09-01 09:46:32",-71.1458634944929,-71.9551585785935,-70.2938822037704,45.0184542523249,43.322380591257,47.0896818174664,"2019-09-05 23:31:00",2,4.5725462962963,"Post-breeding migration","Quebec","Eastern",NA,"Stopover",0.0303478094824624,0.546260570684323,"Eastern Region"
"28","V8296_005",7,14,"2019-09-07 10:02:02",-64.5438088540473,-64.5509637882379,-64.5257138438059,46.769606301287,46.7566837429987,46.7725192767962,"2019-09-29 09:51:47",3,21.9928819444444,"Post-breeding migration","Quebec","Eastern",NA,"Stopover",0.0303478094824624,0.546260570684323,"Eastern Region"
"29","V8296_005",14,15,"2019-10-01 04:00:00",-69.1581678885858,-70.7883154328273,-67.2429266398829,18.894488,NA,NA,"2019-10-08 04:00:00",4,7,"Post-breeding migration","Quebec","Eastern",NA,"Stopover",0.0303478094824624,0.546260570684323,"Eastern Region"
"30","V8296_005",15,26,"2019-10-09 04:00:00",-70.8730578278812,-70.9579748988195,-70.8070442176275,0.77348508142151,0.128778284542854,1.62356611346672,"2020-03-14 10:52:02",5,157.286134259259,"Non-breeding period","Quebec","Eastern",1,"Nonbreeding",0.0303478094824624,0.546260570684323,"Eastern Region"
"31","V8296_006",26,5,"2019-07-09 00:45:39",-71.08742,-71.08172,-71.08172,47.38323,47.38599,47.38599,"2019-08-14 09:28:02",1,36.3627662037037,"Post-breeding migration","Quebec","Eastern",NA,"Breeding",0.0303478094824624,0.546260570684323,"Eastern Region"
"32","V8296_006",5,3,"2019-09-21 23:07:06",-73.5604379138017,-74.878747515785,-72.2170107729149,49.4792789109851,43.3365039193963,54.013903920861,"2019-09-24 10:32:12",6,2.47576388888889,"Post-breeding migration","Quebec","Eastern",NA,"Stopover",0.0303478094824624,0.546260570684323,"Eastern Region"
"33","V8296_006",3,9,"2019-09-29 23:16:57",-79.1883404826838,-79.3632695769719,-79.0491581703666,33.6585672337843,33.1487462609971,34.8000484476452,"2019-10-11 22:59:16",7,11.9877199074074,"Post-breeding migration","Quebec","Eastern",NA,"Stopover",0.0303478094824624,0.546260570684323,"Eastern Region"
"34","V8296_006",9,26,"2019-10-13 22:37:27",-69.9907828657405,-70.1368559668969,-69.8121314997158,11.7512172364969,11.631350362365,11.9996836094007,"2019-11-18 10:25:47",8,35.4918981481481,"Non-breeding period","Quebec","Eastern",1,"Nonbreeding",0.0303478094824624,0.546260570684323,"Eastern Region"
"35","V8296_007",26,5,"2019-07-09 01:03:06",-71.08742,-71.0869,-71.0869,47.38323,47.38746,47.38746,"2019-07-10 01:08:06",1,1.00347222222222,"Post-breeding migration","Quebec","Eastern",NA,"Breeding",0.0303478094824624,0.546260570684323,"Eastern Region"
"36","V8296_007",5,14,"2019-08-30 23:37:36",-71.78798916194,-72.380833217685,-71.2094643802871,42.6493071714169,41.5737236440189,44.3043066710378,"2019-09-12 23:19:51",6,12.9876736111111,"Post-breeding migration","Quebec","Eastern",NA,"Stopover",0.0303478094824624,0.546260570684323,"Eastern Region"
"37","V8296_007",14,13,"2019-10-03 04:00:00",-71.9362230322614,-72.4443942798439,-71.2310022539844,18.747636,NA,NA,"2019-10-06 04:00:00",7,3,"Post-breeding migration","Quebec","Eastern",NA,"Stopover",0.0303478094824624,0.546260570684323,"Eastern Region"
"38","V8296_007",13,9,"2019-10-07 04:00:00",-67.6461456005247,-67.6478112916315,-67.6435167683346,6.49659726077772,6.45751263940855,6.5193435126501,"2020-03-16 10:22:51",8,161.265868055556,"Post-breeding migration","Quebec","Eastern",NA,"Stopover",0.0303478094824624,0.546260570684323,"Eastern Region"
"39","V8296_007",9,26,"2020-03-17 22:56:00",-67.2288923724427,-67.5223121247567,-66.9451475489556,9.39605734669678,7.43714052201457,10.4475782689727,"2020-04-23 22:51:51",9,36.9971180555556,"Non-breeding period","Quebec","Eastern",1,"Nonbreeding",0.0303478094824624,0.546260570684323,"Eastern Region"
"40","V8296_008",26,5,"2019-06-22 01:01:17",-71.08742,-71.08481,-71.08481,47.38323,47.3895,47.3895,"2019-07-31 09:04:03",1,39.3352546296296,"Post-breeding migration","Quebec","Eastern",NA,"Breeding",0.0303478094824624,0.546260570684323,"Eastern Region"
