"","cluster","Eastern Region","Northwestern Region","Western Region","Central Region","tot.abundance","reg.no","single_reg","Lon.50.","Lat.50."
"1",9,0.258755007166258,0,0,0,0.258755007166258,"single reg","Eastern.Region",-71.0219928974846,9.03855657178887
"2",10,0,0.013902761132873,0.0217782012071111,0,0.0356809623399841,"multi reg",NA,-61.9020562749,5.59882498042243
"3",11,0,0.055611044531492,0.0163336509053333,0.166858920335327,0.238803615772152,"multi reg",NA,-63.3763090901499,1.23736395703649
"4",13,0.287505563518065,0.0069513805664365,0.00544455030177777,0.166858920335327,0.466760414721606,"multi reg",NA,-69.1700571318798,3.23001239600907
