"","cluster","next.cluster","geo_id","StartTime","EndTime","Lon.50.","Lon.2.5.","Lon.97.5.","Lat.50.","Lat.2.5.","Lat.97.5.","sitenum","duration","period","geo.id2","band.id","animal.id","animal.taxon","deploy.on.date","deploy.on.time_GMT","deploy.off.date","deploy.off.time","lig.estimated.deploy.day","lig.estimated.recovery.day","animal.latest.date.born","animal.life.stage","Age.status","Wing.cord.mm","animal.mass","animal.sex","animal.taxon.detail","attachment.type","deploy.latitude","deploy.longitude","recovery.latitude","recovery.longitude","deployment.comments","deployment.end.type","manipulation.type","study.site","deploy.range","tag.comments","study.site.specification","tag.manufacturer.name","tag.mass","tag.model","tag.readout.method","tag.serial.no","Study","preliminary_analysis","recording_interval_seconds","light_threshold","Time_shift_hours","Recorded_North_South_mig","Light_Data_Available","Time_shift","In_habitat_median_zenith_angle","Hill_Ekstrom_median_angle","tol","MCMC.iter","MCMC.thin","MCMC.chains","changeLight.days","changelight.quantile","mergesites.distance","stat.nbr.limit","path.elongated","Insert_twilights","Range_region","Fall_carrib_edits","Clock_drift_edits","mod.deploy.lon","mod.deploy.lat","nbr.departure","spring.equinox.year","spring.equinox.date","Recaptured","IH.calib.start","IH.calib.end","IH.calib.start2","IH.calib.end2","Zenith0_adjustment","br.departure","br.arrival","br.departure.woodsworth","br.arrival.woodsworth","nbr.arrival.woodsworth","nbr.departure.woodsworth","X","First.trans.flight.start","first.trans.flight.start","First.trans.flight.start.1","first.trans.flight.start.1","light.review.quality","Breeding_region_MC","site_type","IQR.lon.dist","IQR.lat.dist","fall.br.departure","spring.br.arrival","NB_count","year.difference","Standard.geo.id","nbr.arrival","NB.last.site.arrival","sorted.num"
"11",9,7,"3254_008","2017-04-20 23:35","2017-04-23 0:02",-80.07811513,-81.87032419,-79.02430978,22.37842251,21.76326032,23.00894395,11,2.019097222,"Pre-breeding migration","","2740-82911",NA,"Setophaga","2016-06-14","12:46:00","2017-06-05",NA,"2016-06-14","2017-06-05","","AHY","Adult",76,12.46,"Male","striata","harness",64.83017,-163.7117,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-04",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"2016-08-25","2017-05-29","2016-10-30","2017-04-06","2016-10-30","2017-06-03 0:00",NA,"","","","","","Northwestern Region","Stopover",292952.8646,138668.8672,"2016-08-25",NA,NA,0,"3254-008","2016-10-26 22:02","2016-10-26 22:02",9
"12",7,6,"3254_008","2017-04-24 10:44","2017-04-28 10:38",-84.01889512,-85.81054368,-82.43716194,31.17392387,29.89890064,34.62886856,12,3.995983796,"Pre-breeding migration","","2740-82911",NA,"Setophaga","2016-06-14","12:46:00","2017-06-05",NA,"2016-06-14","2017-06-05","","AHY","Adult",76,12.46,"Male","striata","harness",64.83017,-163.7117,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-04",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"2016-08-25","2017-05-29","2016-10-30","2017-04-06","2016-10-30","2017-06-03 0:00",NA,"","","","","","Northwestern Region","Stopover",321285.134,526537.6211,"2016-08-25",NA,NA,0,"3254-008","2016-10-26 22:02","2016-10-26 22:02",7
"13",6,NA,"3254_008","2017-04-30 11:13","2017-05-04 11:16",-90.49072288,-92.70161053,-89.0133263,33.68596909,32.06968962,36.5284956,13,4.001979167,"Pre-breeding migration","","2740-82911",NA,"Setophaga","2016-06-14","12:46:00","2017-06-05",NA,"2016-06-14","2017-06-05","","AHY","Adult",76,12.46,"Male","striata","harness",64.83017,-163.7117,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-04",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"2016-08-25","2017-05-29","2016-10-30","2017-04-06","2016-10-30","2017-06-03 0:00",NA,"","","","","","Northwestern Region","Stopover",341619.621,496352.0114,"2016-08-25",NA,NA,0,"3254-008","2016-10-26 22:02","2016-10-26 22:02",6
"14",6,15,"3254_008","2017-05-06 1:25","2017-05-12 1:02",-92.0761835,-93.27534652,-90.78171791,36.18324735,34.61285961,38.4510387,14,5.984351852,"Pre-breeding migration","","2740-82911",NA,"Setophaga","2016-06-14","12:46:00","2017-06-05",NA,"2016-06-14","2017-06-05","","AHY","Adult",76,12.46,"Male","striata","harness",64.83017,-163.7117,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-04",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"2016-08-25","2017-05-29","2016-10-30","2017-04-06","2016-10-30","2017-06-03 0:00",NA,"","","","","","Northwestern Region","Stopover",224045.4457,427264.1413,"2016-08-25",NA,NA,0,"3254-008","2016-10-26 22:02","2016-10-26 22:02",6
"15",15,NA,"3254_008","2017-05-28 6:32","2017-05-29 8:36",-163.71321,-163.7117,-163.7117,64.82774,64.83017,64.83017,15,1.086122685,"Pre-breeding migration","","2740-82911",NA,"Setophaga","2016-06-14","12:46:00","2017-06-05",NA,"2016-06-14","2017-06-05","","AHY","Adult",76,12.46,"Male","striata","harness",64.83017,-163.7117,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-04",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"2016-08-25","2017-05-29","2016-10-30","2017-04-06","2016-10-30","2017-06-03 0:00",NA,"","","","","","Northwestern Region","Breeding",0,0,"2016-08-25",NA,NA,0,"3254-008","2016-10-26 22:02",NA,15
"16",15,12,"3254_057",NA,NA,-163.71321,-165.28943,-165.28943,64.82774,64.6375,64.6375,1,NA,"Pre-breeding migration","","2740-82921",NA,"Setophaga","2016-06-15","11:40:00","2017-06-07",NA,"2016-06-15","2017-06-07","","AHY","Adult",76,13.35,"Male","striata","harness",64.6375,-165.28943,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",91.77571139,93,0.14,1000,20,3,2,0.88,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-16",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2.5,"2016-08-23","2017-06-01","2016-08-22","2017-06-04","2016-10-29","2017-04-02",NA,"","","","","","Northwestern Region","Breeding",0,0,"2016-08-23",NA,NA,0,"3254-057","2016-10-17 22:21",NA,15
"17",12,7,"3254_057","2016-10-17 22:21","2017-04-16 22:37",-63.37411213,-63.4455316,-63.33475494,2.568554195,2.173272331,2.743480512,7,181.0116435,"Non-breeding period","","2740-82921",NA,"Setophaga","2016-06-15","11:40:00","2017-06-07",NA,"2016-06-15","2017-06-07","","AHY","Adult",76,13.35,"Male","striata","harness",64.6375,-165.28943,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",91.77571139,93,0.14,1000,20,3,2,0.88,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-16",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2.5,"2016-08-23","2017-06-01","2016-08-22","2017-06-04","2016-10-29","2017-04-02",NA,"","","","","","Northwestern Region","Nonbreeding",12319.21191,63475.28431,"2016-08-23",NA,1,0,"3254-057","2016-10-17 22:21","2016-10-17 22:21",12
"18",7,6,"3254_057","2017-04-21 10:33","2017-04-29 0:51",-85.23313625,-86.14003419,-84.04933227,34.08368122,32.6890285,36.43100833,8,7.595787037,"Pre-breeding migration","","2740-82921",NA,"Setophaga","2016-06-15","11:40:00","2017-06-07",NA,"2016-06-15","2017-06-07","","AHY","Adult",76,13.35,"Male","striata","harness",64.6375,-165.28943,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",91.77571139,93,0.14,1000,20,3,2,0.88,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-16",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2.5,"2016-08-23","2017-06-01","2016-08-22","2017-06-04","2016-10-29","2017-04-02",NA,"","","","","","Northwestern Region","Stopover",192753.1416,416555.2893,"2016-08-23",NA,NA,0,"3254-057","2016-10-17 22:21","2016-10-17 22:21",7
"19",6,1,"3254_057","2017-04-30 11:18","2017-05-10 1:12",-91.45790305,-93.06544899,-90.32101439,34.05498948,33.10291433,35.68220454,9,9.579189815,"Pre-breeding migration","","2740-82921",NA,"Setophaga","2016-06-15","11:40:00","2017-06-07",NA,"2016-06-15","2017-06-07","","AHY","Adult",76,13.35,"Male","striata","harness",64.6375,-165.28943,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",91.77571139,93,0.14,1000,20,3,2,0.88,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-16",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2.5,"2016-08-23","2017-06-01","2016-08-22","2017-06-04","2016-10-29","2017-04-02",NA,"","","","","","Northwestern Region","Stopover",253106.8238,287125.2729,"2016-08-23",NA,NA,0,"3254-057","2016-10-17 22:21","2016-10-17 22:21",6
"20",1,15,"3254_057","2017-05-13 11:24","2017-05-18 4:09",-114.6813255,-115.912785,-113.0120062,50.44971727,49.69284484,51.81881267,10,4.697667824,"Pre-breeding migration","","2740-82921",NA,"Setophaga","2016-06-15","11:40:00","2017-06-07",NA,"2016-06-15","2017-06-07","","AHY","Adult",76,13.35,"Male","striata","harness",64.6375,-165.28943,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",91.77571139,93,0.14,1000,20,3,2,0.88,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-16",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2.5,"2016-08-23","2017-06-01","2016-08-22","2017-06-04","2016-10-29","2017-04-02",NA,"","","","","","Northwestern Region","Stopover",205603.5973,236661.6562,"2016-08-23",NA,NA,0,"3254-057","2016-10-17 22:21","2016-10-17 22:21",1
