"","cluster","geo_id","StartTime","EndTime","Lon.50.","Lon.2.5.","Lon.97.5.","Lat.50.","Lat.2.5.","Lat.97.5.","sitenum","duration","period","geo.id2","band.id","animal.id","animal.taxon","deploy.on.date","deploy.on.time_GMT","deploy.off.date","deploy.off.time","lig.estimated.deploy.day","lig.estimated.recovery.day","animal.latest.date.born","animal.life.stage","Age.status","Wing.cord.mm","animal.mass","animal.sex","animal.taxon.detail","attachment.type","deploy.latitude","deploy.longitude","recovery.latitude","recovery.longitude","deployment.comments","deployment.end.type","manipulation.type","study.site","deploy.range","tag.comments","study.site.specification","tag.manufacturer.name","tag.mass","tag.model","tag.readout.method","tag.serial.no","Study","preliminary_analysis","recording_interval_seconds","light_threshold","Time_shift_hours","Recorded_North_South_mig","Light_Data_Available","Time_shift","In_habitat_median_zenith_angle","Hill_Ekstrom_median_angle","tol","MCMC.iter","MCMC.thin","MCMC.chains","changeLight.days","changelight.quantile","mergesites.distance","stat.nbr.limit","path.elongated","Insert_twilights","Range_region","Fall_carrib_edits","Clock_drift_edits","mod.deploy.lon","mod.deploy.lat","nbr.departure","spring.equinox.year","spring.equinox.date","Recaptured","IH.calib.start","IH.calib.end","IH.calib.start2","IH.calib.end2","Zenith0_adjustment","br.departure","br.arrival","br.departure.woodsworth","br.arrival.woodsworth","nbr.arrival.woodsworth","nbr.departure.woodsworth","X","First.trans.flight.start","first.trans.flight.start","First.trans.flight.start.1","first.trans.flight.start.1","light.review.quality","Breeding_region_MC","site_type","IQR.lon.dist","IQR.lat.dist","fall.br.departure","spring.br.arrival","NB_count","year.difference","Standard.geo.id","nbr.arrival","NB.first.site.arrival","id","sorted.num","next.cluster"
"1",16,"3254_001","2016-07-28 7:45","2016-08-18 13:37",-163.71321,-163.71321,-163.71321,64.82774,64.820971,64.820971,1,21.24453704,"Breeding","","2740-82912",NA,"Setophaga","2016-06-14","13:41:00","2017-06-10",NA,"2016-06-14","2017-06-10","","AHY","Adult",75,12.73,"Male","striata","harness",64.820971,-163.71321,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-11",2017,"2017-03-20","No","2016-08-10","2016-08-20",NA,NA,0,"2016-08-22","2017-05-29","2016-07-25 0:00","2017-05-29 0:00","2016-10-31","2017-04-08",NA,"","","","","","Northwestern Region","Breeding",0,0,"2016-08-18",NA,NA,0,"3254-001","2016-10-28 21:58",NA,NA,16,1
"2",1,"3254_001","2016-08-26 13:25","2016-09-02 13:34",-142.4645851,-148.7661366,-136.0208496,62.29176414,60.77747794,64.69211765,2,7.0059375,"Post-breeding migration","","2740-82912",NA,"Setophaga","2016-06-14","13:41:00","2017-06-10",NA,"2016-06-14","2017-06-10","","AHY","Adult",75,12.73,"Male","striata","harness",64.820971,-163.71321,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-11",2017,"2017-03-20","No","2016-08-10","2016-08-20",NA,NA,0,"2016-08-22","2017-05-29","2016-07-25 0:00","2017-05-29 0:00","2016-10-31","2017-04-08",NA,"","","","","","Northwestern Region","Stopover",658631.212,435775.699,"2016-08-18",NA,NA,0,"3254-001","2016-10-28 21:58","2016-10-28 21:58",1,1,3
"3",3,"3254_001","2016-09-13 11:37","2016-09-16 11:47",-96.98120821,-105.6526286,-87.22290191,56.39153953,45.70475521,64.12522586,3,3.007418981,"Post-breeding migration","","2740-82912",NA,"Setophaga","2016-06-14","13:41:00","2017-06-10",NA,"2016-06-14","2017-06-10","","AHY","Adult",75,12.73,"Male","striata","harness",64.820971,-163.71321,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-11",2017,"2017-03-20","No","2016-08-10","2016-08-20",NA,NA,0,"2016-08-22","2017-05-29","2016-07-25 0:00","2017-05-29 0:00","2016-10-31","2017-04-08",NA,"","","","","","Northwestern Region","Stopover",1132180.305,2050557.413,"2016-08-18",NA,NA,0,"3254-001","2016-10-28 21:58","2016-10-28 21:58",1,3,7
"4",7,"3254_001","2016-09-21 23:42","2016-10-13 10:59",-77.90941528,-79.68423984,-75.49662871,38.44168399,34.03465972,48.67101343,4,21.46997354,"Post-breeding migration","","2740-82912",NA,"Setophaga","2016-06-14","13:41:00","2017-06-10",NA,"2016-06-14","2017-06-10","","AHY","Adult",75,12.73,"Male","striata","harness",64.820971,-163.71321,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-11",2017,"2017-03-20","No","2016-08-10","2016-08-20",NA,NA,0,"2016-08-22","2017-05-29","2016-07-25 0:00","2017-05-29 0:00","2016-10-31","2017-04-08",NA,"","","","","","Northwestern Region","Stopover",365086.5115,1629311.442,"2016-08-18",NA,NA,0,"3254-001","2016-10-28 21:58","2016-10-28 21:58",1,7,11
"5",11,"3254_001","2016-10-14 22:27","2016-10-22 10:09",-68.94959532,-71.04623794,-65.18226397,9.633419158,3.762203585,11.40837158,5,7.487361111,"Post-breeding migration","","2740-82912",NA,"Setophaga","2016-06-14","13:41:00","2017-06-10",NA,"2016-06-14","2017-06-10","","AHY","Adult",75,12.73,"Male","striata","harness",64.820971,-163.71321,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-11",2017,"2017-03-20","No","2016-08-10","2016-08-20",NA,NA,0,"2016-08-22","2017-05-29","2016-07-25 0:00","2017-05-29 0:00","2016-10-31","2017-04-08",NA,"","","","","","Northwestern Region","Stopover",643561.6854,851167.5273,"2016-08-18",NA,NA,0,"3254-001","2016-10-28 21:58","2016-10-28 21:58",1,11,13
"6",13,"3254_001","2016-10-23 22:19","2016-10-27 9:45",-64.41040885,-67.58829151,-61.42203626,6.048653827,-1.326554239,10.13845359,6,3.476759259,"Post-breeding migration","","2740-82912",NA,"Setophaga","2016-06-14","13:41:00","2017-06-10",NA,"2016-06-14","2017-06-10","","AHY","Adult",75,12.73,"Male","striata","harness",64.820971,-163.71321,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-11",2017,"2017-03-20","No","2016-08-10","2016-08-20",NA,NA,0,"2016-08-22","2017-05-29","2016-07-25 0:00","2017-05-29 0:00","2016-10-31","2017-04-08",NA,"","","","","","Northwestern Region","Stopover",682599.2539,1276278.834,"2016-08-18",NA,NA,0,"3254-001","2016-10-28 21:58","2016-10-28 21:58",1,13,NA
"7",13,"3254_001","2016-10-28 21:58","2017-04-11 9:46",-57.2446665,-57.87005265,-56.41975152,5.815659566,4.961566202,6.425174059,7,164.4918519,"Non-breeding period","","2740-82912",NA,"Setophaga","2016-06-14","13:41:00","2017-06-10",NA,"2016-06-14","2017-06-10","","AHY","Adult",75,12.73,"Male","striata","harness",64.820971,-163.71321,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-11",2017,"2017-03-20","No","2016-08-10","2016-08-20",NA,NA,0,"2016-08-22","2017-05-29","2016-07-25 0:00","2017-05-29 0:00","2016-10-31","2017-04-08",NA,"","","","","","Northwestern Region","Nonbreeding",160615.7818,162928.0813,"2016-08-18",NA,1,0,"3254-001","2016-10-28 21:58","2016-10-28 21:58",1,13,16
"8",16,"3254_001",NA,NA,-163.71321,-163.71321,-163.71321,64.82774,64.820971,64.820971,7,NA,"Post-breeding migration","","2740-82912",NA,"Setophaga","2016-06-14","13:41:00","2017-06-10",NA,"2016-06-14","2017-06-10","","AHY","Adult",75,12.73,"Male","striata","harness",64.820971,-163.71321,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-11",2017,"2017-03-20","No","2016-08-10","2016-08-20",NA,NA,0,"2016-08-22","2017-05-29","2016-07-25 0:00","2017-05-29 0:00","2016-10-31","2017-04-08",NA,"","","","","","Northwestern Region","Breeding",0,0,"2016-08-18",NA,NA,0,"3254-001","2016-10-28 21:58",NA,NA,16,NA
"9",16,"3254_003","2016-07-10 8:19","2016-07-11 9:51",-163.71321,-163.71794,-163.71794,64.82774,64.82774,64.82774,1,1.063888889,"Breeding","","2740-82914",NA,"Setophaga","2016-06-14","15:48:00","2016-12-19",NA,"2016-06-14","2016-12-19","","AHY","Adult",79,13.44,"Male","striata","harness",64.82774,-163.71794,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"South","Yes","No",91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,"No","Western",FALSE,FALSE,-163.71321,64.82774,NA,2017,"2017-03-20","No","2016-08-01","2016-08-12",NA,NA,1,NA,NA,"2016-08-15 0:00",NA,"2016-10-27",NA,NA,"","","","","","Northwestern Region","Breeding",0,0,"2016-08-17",NA,NA,0,"3254-003","2016-10-23 22:12",NA,NA,16,1
"10",1,"3254_003","2016-08-18 13:03","2016-08-20 13:32",-145.8628887,-147.3376994,-144.2381373,67.03938838,66.58149325,67.41275732,3,2.020138889,"Post-breeding migration","","2740-82914",NA,"Setophaga","2016-06-14","15:48:00","2016-12-19",NA,"2016-06-14","2016-12-19","","AHY","Adult",79,13.44,"Male","striata","harness",64.82774,-163.71794,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"South","Yes","No",91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,"No","Western",FALSE,FALSE,-163.71321,64.82774,NA,2017,"2017-03-20","No","2016-08-01","2016-08-12",NA,NA,1,NA,NA,"2016-08-15 0:00",NA,"2016-10-27",NA,NA,"","","","","","Northwestern Region","Stopover",134586.2332,92535.89278,"2016-08-17",NA,NA,0,"3254-003","2016-10-23 22:12","2016-10-23 22:12",1,1,2
"11",2,"3254_003","2016-08-29 3:06","2016-08-31 13:07",-120.2385014,-123.664488,-116.9608496,55.04110063,53.09437742,59.05533106,4,2.417013889,"Post-breeding migration","","2740-82914",NA,"Setophaga","2016-06-14","15:48:00","2016-12-19",NA,"2016-06-14","2016-12-19","","AHY","Adult",79,13.44,"Male","striata","harness",64.82774,-163.71794,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"South","Yes","No",91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,"No","Western",FALSE,FALSE,-163.71321,64.82774,NA,2017,"2017-03-20","No","2016-08-01","2016-08-12",NA,NA,1,NA,NA,"2016-08-15 0:00",NA,"2016-10-27",NA,NA,"","","","","","Northwestern Region","Stopover",427426.4192,663570.323,"2016-08-17",NA,NA,0,"3254-003","2016-10-23 22:12","2016-10-23 22:12",1,2,6
"12",6,"3254_003","2016-09-13 10:45","2016-09-21 10:27",-73.65698178,-74.22432095,-73.04159363,54.7103618,52.04307945,56.4641548,6,7.9875,"Post-breeding migration","","2740-82914",NA,"Setophaga","2016-06-14","15:48:00","2016-12-19",NA,"2016-06-14","2016-12-19","","AHY","Adult",79,13.44,"Male","striata","harness",64.82774,-163.71794,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"South","Yes","No",91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,"No","Western",FALSE,FALSE,-163.71321,64.82774,NA,2017,"2017-03-20","No","2016-08-01","2016-08-12",NA,NA,1,NA,NA,"2016-08-15 0:00",NA,"2016-10-27",NA,NA,"","","","","","Northwestern Region","Stopover",76060.7496,492151.8572,"2016-08-17",NA,NA,0,"3254-003","2016-10-23 22:12","2016-10-23 22:12",1,6,7
"13",7,"3254_003","2016-09-22 23:15","2016-09-25 10:56",-79.52762766,-79.53274889,-79.51325253,51.40841369,51.30544748,51.43200115,7,2.487222222,"Post-breeding migration","","2740-82914",NA,"Setophaga","2016-06-14","15:48:00","2016-12-19",NA,"2016-06-14","2016-12-19","","AHY","Adult",79,13.44,"Male","striata","harness",64.82774,-163.71794,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"South","Yes","No",91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,"No","Western",FALSE,FALSE,-163.71321,64.82774,NA,2017,"2017-03-20","No","2016-08-01","2016-08-12",NA,NA,1,NA,NA,"2016-08-15 0:00",NA,"2016-10-27",NA,NA,"","","","","","Northwestern Region","Stopover",1353.772799,14087.89059,"2016-08-17",NA,NA,0,"3254-003","2016-10-23 22:12","2016-10-23 22:12",1,7,4
"14",4,"3254_003","2016-09-26 23:21","2016-10-01 23:13",-80.66217867,-80.76903244,-80.62106419,45.80795266,45.73408396,46.03490399,8,4.994444444,"Post-breeding migration","","2740-82914",NA,"Setophaga","2016-06-14","15:48:00","2016-12-19",NA,"2016-06-14","2016-12-19","","AHY","Adult",79,13.44,"Male","striata","harness",64.82774,-163.71794,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"South","Yes","No",91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,"No","Western",FALSE,FALSE,-163.71321,64.82774,NA,2017,"2017-03-20","No","2016-08-01","2016-08-12",NA,NA,1,NA,NA,"2016-08-15 0:00",NA,"2016-10-27",NA,NA,"","","","","","Northwestern Region","Stopover",11481.88924,33487.13244,"2016-08-17",NA,NA,0,"3254-003","2016-10-23 22:12","2016-10-23 22:12",1,4,7
"15",7,"3254_003","2016-10-03 11:07","2016-10-21 22:21",-79.376287,-79.37843731,-79.37433617,33.03564013,33.0311005,33.05316249,9,18.4681713,"Post-breeding migration","","2740-82914",NA,"Setophaga","2016-06-14","15:48:00","2016-12-19",NA,"2016-06-14","2016-12-19","","AHY","Adult",79,13.44,"Male","striata","harness",64.82774,-163.71794,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"South","Yes","No",91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,"No","Western",FALSE,FALSE,-163.71321,64.82774,NA,2017,"2017-03-20","No","2016-08-01","2016-08-12",NA,NA,1,NA,NA,"2016-08-15 0:00",NA,"2016-10-27",NA,NA,"","","","","","Northwestern Region","Stopover",382.7292163,2455.929697,"2016-08-17",NA,NA,0,"3254-003","2016-10-23 22:12","2016-10-23 22:12",1,7,15
"16",15,"3254_003","2016-10-23 22:12","2016-12-20 10:00",-63.33115525,-63.47072603,-63.20305592,-0.36478725,-1.015794583,-0.062544257,10,57.4916088,"Non-breeding period","","2740-82914",NA,"Setophaga","2016-06-14","15:48:00","2016-12-19",NA,"2016-06-14","2016-12-19","","AHY","Adult",79,13.44,"Male","striata","harness",64.82774,-163.71794,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"South","Yes","No",91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,"No","Western",FALSE,FALSE,-163.71321,64.82774,NA,2017,"2017-03-20","No","2016-08-01","2016-08-12",NA,NA,1,NA,NA,"2016-08-15 0:00",NA,"2016-10-27",NA,NA,"","","","","","Northwestern Region","Nonbreeding",29796.2968,106115.3409,"2016-08-17",NA,1,0,"3254-003","2016-10-23 22:12","2016-10-23 22:12",1,15,16
"17",16,"3254_003",NA,NA,-163.71321,-163.71794,-163.71794,64.82774,64.82774,64.82774,10,NA,"Post-breeding migration","","2740-82914",NA,"Setophaga","2016-06-14","15:48:00","2016-12-19",NA,"2016-06-14","2016-12-19","","AHY","Adult",79,13.44,"Male","striata","harness",64.82774,-163.71794,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"South","Yes","No",91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,"No","Western",FALSE,FALSE,-163.71321,64.82774,NA,2017,"2017-03-20","No","2016-08-01","2016-08-12",NA,NA,1,NA,NA,"2016-08-15 0:00",NA,"2016-10-27",NA,NA,"","","","","","Northwestern Region","Breeding",0,0,"2016-08-17",NA,NA,0,"3254-003","2016-10-23 22:12",NA,NA,16,NA
"18",16,"3254_008","2016-07-10 9:10","2016-07-11 9:41",-163.71321,-163.7117,-163.7117,64.82774,64.83017,64.83017,1,1.021180556,"Breeding","","2740-82911",NA,"Setophaga","2016-06-14","12:46:00","2017-06-05",NA,"2016-06-14","2017-06-05","","AHY","Adult",76,12.46,"Male","striata","harness",64.83017,-163.7117,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-04",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"2016-08-25","2017-05-29","2016-10-30","2017-04-06","2016-10-30","2017-06-03 0:00",NA,"","","","","","Northwestern Region","Breeding",0,0,"2016-08-25",NA,NA,0,"3254-008","2016-10-26 22:02",NA,NA,16,1
"19",1,"3254_008","2016-08-28 13:36","2016-08-31 5:19",-145.0247945,-147.1246539,-143.0888272,65.92540846,64.91868991,67.18291233,3,2.654340278,"Post-breeding migration","","2740-82911",NA,"Setophaga","2016-06-14","12:46:00","2017-06-05",NA,"2016-06-14","2017-06-05","","AHY","Adult",76,12.46,"Male","striata","harness",64.83017,-163.7117,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-04",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"2016-08-25","2017-05-29","2016-10-30","2017-04-06","2016-10-30","2017-06-03 0:00",NA,"","","","","","Northwestern Region","Stopover",183235.5946,252052.0875,"2016-08-25",NA,NA,0,"3254-008","2016-10-26 22:02","2016-10-26 22:02",1,1,7
"20",7,"3254_008","2016-09-20 10:55","2016-09-24 23:20",-78.14271686,-78.28614763,-77.99887176,43.10853481,42.183007,43.40388594,5,4.517199074,"Post-breeding migration","","2740-82911",NA,"Setophaga","2016-06-14","12:46:00","2017-06-05",NA,"2016-06-14","2017-06-05","","AHY","Adult",76,12.46,"Male","striata","harness",64.83017,-163.7117,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-04",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"2016-08-25","2017-05-29","2016-10-30","2017-04-06","2016-10-30","2017-06-03 0:00",NA,"","","","","","Northwestern Region","Stopover",23346.88738,135907.6209,"2016-08-25",NA,NA,0,"3254-008","2016-10-26 22:02","2016-10-26 22:02",1,7,NA
"21",7,"3254_008","2016-09-26 10:53","2016-10-08 11:17",-78.11859252,-78.58840885,-77.70496959,35.25965058,33.99395101,39.27327204,6,12.01677083,"Post-breeding migration","","2740-82911",NA,"Setophaga","2016-06-14","12:46:00","2017-06-05",NA,"2016-06-14","2017-06-05","","AHY","Adult",76,12.46,"Male","striata","harness",64.83017,-163.7117,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-04",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"2016-08-25","2017-05-29","2016-10-30","2017-04-06","2016-10-30","2017-06-03 0:00",NA,"","","","","","Northwestern Region","Stopover",80301.97756,587691.3281,"2016-08-25",NA,NA,0,"3254-008","2016-10-26 22:02","2016-10-26 22:02",1,7,12
"22",12,"3254_008","2016-10-11 22:37","2016-10-18 10:13",-70.74159904,-71.860663,-69.7929022,7.789141762,1.071013613,11.05198855,7,6.482835648,"Post-breeding migration","","2740-82911",NA,"Setophaga","2016-06-14","12:46:00","2017-06-05",NA,"2016-06-14","2017-06-05","","AHY","Adult",76,12.46,"Male","striata","harness",64.83017,-163.7117,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-04",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"2016-08-25","2017-05-29","2016-10-30","2017-04-06","2016-10-30","2017-06-03 0:00",NA,"","","","","","Northwestern Region","Stopover",228058.0875,1111077.048,"2016-08-25",NA,NA,0,"3254-008","2016-10-26 22:02","2016-10-26 22:02",1,12,13
"23",13,"3254_008","2016-10-22 9:58","2016-10-25 9:51",-63.84442398,-65.96195945,-61.73330393,5.930316353,-1.584845955,10.1886824,8,2.9946875,"Post-breeding migration","","2740-82911",NA,"Setophaga","2016-06-14","12:46:00","2017-06-05",NA,"2016-06-14","2017-06-05","","AHY","Adult",76,12.46,"Male","striata","harness",64.83017,-163.7117,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-04",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"2016-08-25","2017-05-29","2016-10-30","2017-04-06","2016-10-30","2017-06-03 0:00",NA,"","","","","","Northwestern Region","Stopover",468211.4231,1310623.181,"2016-08-25",NA,NA,0,"3254-008","2016-10-26 22:02","2016-10-26 22:02",1,13,NA
"24",13,"3254_008","2016-10-26 22:02","2017-04-04 9:47",-58.29530889,-58.38810906,-58.18885645,1.241877718,0.777484329,1.700719475,9,159.4900463,"Non-breeding period","","2740-82911",NA,"Setophaga","2016-06-14","12:46:00","2017-06-05",NA,"2016-06-14","2017-06-05","","AHY","Adult",76,12.46,"Male","striata","harness",64.83017,-163.7117,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-04",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"2016-08-25","2017-05-29","2016-10-30","2017-04-06","2016-10-30","2017-06-03 0:00",NA,"","","","","","Northwestern Region","Nonbreeding",22175.48947,102774.0663,"2016-08-25",NA,1,0,"3254-008","2016-10-26 22:02","2016-10-26 22:02",1,13,16
"25",16,"3254_008",NA,NA,-163.71321,-163.7117,-163.7117,64.82774,64.83017,64.83017,9,NA,"Post-breeding migration","","2740-82911",NA,"Setophaga","2016-06-14","12:46:00","2017-06-05",NA,"2016-06-14","2017-06-05","","AHY","Adult",76,12.46,"Male","striata","harness",64.83017,-163.7117,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2017-04-04",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"2016-08-25","2017-05-29","2016-10-30","2017-04-06","2016-10-30","2017-06-03 0:00",NA,"","","","","","Northwestern Region","Breeding",0,0,"2016-08-25",NA,NA,0,"3254-008","2016-10-26 22:02",NA,NA,16,NA
"26",16,"3254_011","2016-07-10 9:52","2016-07-11 8:56",-163.71321,-163.69373,-163.69373,64.82774,64.86398,64.86398,1,0.960717593,"Breeding","","2740-82903",NA,"Setophaga","2016-06-12","13:37:00","2017-01-11",NA,"2016-06-12","2017-01-11","","AHY","Adult",79.5,13.16,"Male","striata","harness",64.86398,-163.69373,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","Yes ",120,NA,NA,"South","Yes","No",91.5191813,92,0.05,1000,20,3,1,0.7,250,14,FALSE,"No","Western",FALSE,FALSE,-163.71321,64.82774,NA,2017,"2017-03-20","No","2016-08-01","2016-08-10",NA,NA,0,"2016-08-14",NA,"2016-08-07 0:00","2016-10-28",NA,NA,NA,"","","","","","Northwestern Region","Breeding",0,0,"2016-08-13",NA,NA,0,"3254-011","2016-10-17 22:16",NA,NA,16,6
"27",6,"3254_011","2016-09-07 10:30","2016-09-13 23:18",-74.54647966,-76.62020724,-72.16779837,53.52600507,49.49032049,56.2838807,5,6.533726852,"Post-breeding migration","","2740-82903",NA,"Setophaga","2016-06-12","13:37:00","2017-01-11",NA,"2016-06-12","2017-01-11","","AHY","Adult",79.5,13.16,"Male","striata","harness",64.86398,-163.69373,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","Yes ",120,NA,NA,"South","Yes","No",91.5191813,92,0.05,1000,20,3,1,0.7,250,14,FALSE,"No","Western",FALSE,FALSE,-163.71321,64.82774,NA,2017,"2017-03-20","No","2016-08-01","2016-08-10",NA,NA,0,"2016-08-14",NA,"2016-08-07 0:00","2016-10-28",NA,NA,NA,"","","","","","Northwestern Region","Stopover",294589.09,756255.6634,"2016-08-13",NA,NA,0,"3254-011","2016-10-17 22:16","2016-10-17 22:16",1,6,NA
