"","cluster","Northwestern Region","Western Region","Central Region","Eastern Region","tot.abundance","reg.no","single_reg","Lon.50.","Lat.50."
"1",1,0.0254776206810271,0.00621702832883241,0,0,0.0316946490098595,"multi reg",NA,-57.7699876948883,0.425841632977309
"2",2,0.0509552413620543,0.0310851416441621,0.191002264340104,0,0.27304264734632,"multi reg",NA,-63.6407698256311,3.47664743488934
"3",9,0,0,0.095501132170052,0.0419841520815315,0.137485284251584,"multi reg",NA,-72.87317095933,0.608838019990415
"4",10,0,0.00621702832883241,0.047750566085026,0.167936608326126,0.221904202739984,"multi reg",NA,-69.9566478840923,10.4866519279742
"5",14,0,0,0,0.293889064570721,0.293889064570721,"single reg","Eastern.Region",-70.5335748322159,7.33333756687788
