"","vertex","Lon.50.","Lat.50.","ab.weight","n.weight","prop.ab.central","prop.ab.eastern","region.ab.units_Northwestern Region","region.ab.units_Western Region","n.central","n.eastern","region.n_Northwestern Region","region.n_Western Region"
"1",10,-69.913061065,10.464243675,0.737524889501143,12,0.143021931715994,0.588280614583117,0,0.00622234320203174,3,8,0,1
"2",11,-70.534178525,7.333337567,0.425854372327811,10,0.0476739772386648,0.378180395089147,0,0,1,9,0,0
"3",12,-63.64076983,3.476647435,0.289776679392197,17,0.190695908954659,0,0.0679690544273791,0.0311117160101587,4,0,8,5
"4",13,-72.87317096,0.60883802,0.137367998376124,3,0.0953479544773296,0.0420200438987941,0,0,2,1,0,0
"5",14,-57.769987695,0.425841633,0.0317107386122989,4,0,0,0.0254883954102672,0.00622234320203174,0,0,3,1
