"","geo_id","study.site","cluster","next.cluster","StartTime","Lon.50.","Lon.2.5.","Lon.97.5.","Lat.50.","Lat.2.5.","Lat.97.5.","EndTime","sitenum","duration","period","Range_region","NB_count","site_type","ab.unit","br.region.prop.total.population","br.polygon"
"1","3254_001","Nome, Alaska",1,2,2016-10-28 21:58:42,-56.9938370001893,-57.8982618500314,-56.3918794874061,5.63609462236902,4.90418042517541,6.64986670606867,2017-04-11 09:46:58,7,164.491851851852,"Non-breeding period","West",1,"Nonbreeding",0.0320026194989782,0.0960078584969346,"AlaskaWest"
"2","3254_001","Nome, Alaska",2,4,2017-04-12 22:06:59,-61.532280910881,-65.4394794625937,-57.8592159781515,5.90647016331193,-1.45483811525073,10.3971608479909,2017-04-18 22:20:31,8,6.00939814814815,"Non-breeding period","West",NA,"Stopover",0.0320026194989782,0.0960078584969346,"AlaskaWest"
"3","3254_001","Nome, Alaska",4,5,2017-04-20 23:13:47,-71.6062794125652,-74.3346433121051,-69.8307120240362,18.7959338728545,17.8479467310312,19.7552623667096,2017-04-23 23:19:18,9,3.00383101851852,"Pre-breeding migration","West",NA,"Stopover",0.0320026194989782,0.0960078584969346,"AlaskaWest"
"4","3254_001","Nome, Alaska",5,3,2017-04-28 10:39:04,-87.338530077215,-91.5720899714154,-83.3104917019461,33.902570831308,30.9775274631551,40.3139720016852,2017-05-05 00:45:58,10,6.588125,"Pre-breeding migration","West",NA,"Stopover",0.0320026194989782,0.0960078584969346,"AlaskaWest"
"5","3254_001","Nome, Alaska",3,27,2017-05-06 10:42:15,-91.561725498807,-96.802571851652,-86.9960730293568,37.5637138184974,33.8551355170137,43.3204729173425,2017-05-13 01:35:34,11,6.6203587962963,"Pre-breeding migration","West",NA,"Stopover",0.0320026194989782,0.0960078584969346,"AlaskaWest"
"6","3254_008","Nome, Alaska",1,6,2016-10-26 22:02:03,-57.1200499422381,-57.1359366345075,-57.1128718582836,-1.49857175653265,-1.61373398719434,-1.21656005158107,2017-04-04 09:47:43,7,159.490046296296,"Non-breeding period","West",1,"Nonbreeding",0.0320026194989782,0.0960078584969346,"AlaskaWest"
"7","3254_008","Nome, Alaska",6,7,2017-04-05 22:06:09,-63.6734988306726,-64.1827810624138,-63.0551941455597,9.40900454190933,7.23633252970789,10.5709698454487,2017-04-18 22:35:35,8,13.0204398148148,"Pre-breeding migration","West",NA,"Stopover",0.0320026194989782,0.0960078584969346,"AlaskaWest"
"8","3254_008","Nome, Alaska",7,3,2017-04-24 10:44:03,-84.0556218576278,-85.5617276183333,-82.485093846456,33.4853824903871,30.8150363762364,37.0043435763664,2017-04-28 10:38:16,9,3.9959837962963,"Pre-breeding migration","West",NA,"Stopover",0.0320026194989782,0.0960078584969346,"AlaskaWest"
"9","3254_008","Nome, Alaska",3,27,2017-05-06 01:25:22,-92.1111023276823,-93.2884465959487,-90.6729865856691,38.5132831482976,36.9711200303163,40.6848068496333,2017-05-12 01:02:50,11,5.98435185185185,"Pre-breeding migration","West",NA,"Stopover",0.0320026194989782,0.0960078584969346,"AlaskaWest"
"10","3254_057","Nome, Alaska",8,7,2016-10-17 22:21:06,-61.8673310107848,-61.8697643585261,-61.8659150814623,-0.690356511762641,-0.739102164524419,-0.674504053203362,2017-04-16 22:37:52,7,181.011643518518,"Non-breeding period","West",1,"Nonbreeding",0.0320026194989782,0.0960078584969346,"AlaskaWest"
"11","3254_057","Nome, Alaska",7,3,2017-04-21 10:33:59,-85.1436634023008,-86.0777513971845,-84.0955428971959,35.5009190403824,34.0946433154657,37.9446419592591,2017-04-29 00:51:55,8,7.59578703703704,"Pre-breeding migration","West",NA,"Stopover",0.0320026194989782,0.0960078584969346,"AlaskaWest"
"12","3254_057","Nome, Alaska",3,9,2017-04-30 11:18:56,-91.7905205358901,-93.2006319320582,-90.5902550379355,34.4138136534934,33.4449995402237,36.3890276336908,2017-05-10 01:12:58,9,9.57918981481481,"Pre-breeding migration","West",NA,"Stopover",0.0320026194989782,0.0960078584969346,"AlaskaWest"
"13","3254_057","Nome, Alaska",9,27,2017-05-13 11:24:29,-114.958004756926,-116.418401183607,-113.264440460689,50.9681257598089,50.2672764509707,52.1912549674484,2017-05-18 04:09:07,10,4.69766203703704,"Pre-breeding migration","West",NA,"Stopover",0.0320026194989782,0.0960078584969346,"AlaskaWest"
"14","4068_014","Denali, Alaska",8,5,2016-10-12 10:15:02,-62.2787451036279,-62.2803030384082,-62.276777831364,1.56135184969022,1.54368592674188,1.60241446065094,2017-04-19 09:57:36,8,188.987893518519,"Non-breeding period","West",1,"Nonbreeding",0.0365210119957924,0.0365210119957924,"AlaskaEast"
"15","4068_014","Denali, Alaska",5,3,2017-04-27 10:47:17,-86.8525717194848,-90.066936112405,-83.5374717189819,35.946300738833,31.4661556334455,41.1727783642543,2017-05-01 10:51:53,9,4.00319444444444,"Pre-breeding migration","West",NA,"Stopover",0.0365210119957924,0.0365210119957924,"AlaskaEast"
"16","4068_014","Denali, Alaska",3,9,2017-05-04 11:26:24,-93.188887999274,-95.5565033034963,-90.9871625833449,37.2422846745241,34.9213290281216,40.7923079551319,2017-05-12 01:29:55,10,7.58577546296296,"Pre-breeding migration","West",NA,"Stopover",0.0365210119957924,0.0365210119957924,"AlaskaEast"
"17","4068_014","Denali, Alaska",9,10,2017-05-16 11:03:56,-121.142764572455,-124.036164102953,-117.444668798552,57.034742993728,56.0651097075084,58.4905920187785,2017-05-20 04:48:12,11,3.73907407407407,"Pre-breeding migration","West",NA,"Stopover",0.0365210119957924,0.0365210119957924,"AlaskaEast"
